pitch_type,prev_vel,prev_zone,prev_type,stand,balls,strikes,runner,outs_when_up,inning,run_diff
2-Seam Fastball,91.6,5,S,R,1,1,0,2,2,6
Slider,91,5,S,R,1,2,0,2,2,6
Cutter,83.6,14,S,R,0,0,0,0,3,7
Cutter,90.3,12,B,R,1,0,0,0,3,7
2-Seam Fastball,90.8,14,B,R,2,0,0,0,3,7
2-Seam Fastball,91,11,B,R,3,0,0,0,3,7
2-Seam Fastball,90.4,14,B,L,0,0,1,0,3,7
2-Seam Fastball,91.1,14,B,L,1,0,1,0,3,7
Cutter,92.3,4,S,L,1,1,1,0,3,7
Cutter,89.8,2,S,L,1,2,1,0,3,7
2-Seam Fastball,90.7,12,B,L,2,2,1,0,3,7
Cutter,92.3,13,X,L,0,0,1,0,3,7
2-Seam Fastball,90.9,12,S,L,0,1,1,0,3,7
2-Seam Fastball,92.5,13,B,L,1,1,1,0,3,7
2-Seam Fastball,91.2,13,B,L,2,1,1,0,3,7
Cutter,91.6,11,B,L,3,1,1,0,3,7
2-Seam Fastball,89.4,12,B,R,0,0,1,0,3,7
2-Seam Fastball,92.3,7,X,L,0,0,1,1,3,6
2-Seam Fastball,92.5,9,B,L,1,0,1,1,3,6
2-Seam Fastball,91.7,11,X,L,0,0,0,0,4,6
Slider,91.6,11,B,L,1,0,0,0,4,6
2-Seam Fastball,82.4,11,B,L,2,0,0,0,4,6
2-Seam Fastball,91.3,4,S,L,2,1,0,0,4,6
2-Seam Fastball,91.8,7,X,L,0,0,0,1,4,6
Slider,92.6,4,S,L,0,1,0,1,4,6
Cutter,83.4,2,S,L,0,2,0,1,4,6
Cutter,90.7,12,X,L,0,0,0,2,4,6
2-Seam Fastball,89.8,11,B,L,1,0,0,2,4,6
Cutter,91.1,9,S,L,1,1,0,2,4,6
Cutter,90.4,13,B,L,2,1,0,2,4,6
Cutter,90.7,14,S,L,2,2,0,2,4,6
Cutter,90.2,11,B,L,3,2,0,2,4,6
2-Seam Fastball,90.7,6,X,R,0,0,0,2,4,5
2-Seam Fastball,92.3,3,S,R,0,1,0,2,4,5
Slider,91.3,12,S,R,0,2,0,2,4,5
Slider,82.7,4,X,R,0,0,0,0,5,7
2-Seam Fastball,84.9,2,S,R,0,1,0,0,5,7
Slider,91.8,1,S,R,0,2,0,0,5,7
Slider,86.3,9,S,R,0,2,0,0,5,7
2-Seam Fastball,85.5,14,B,R,1,2,0,0,5,7
Cutter,91.9,9,B,R,2,2,0,0,5,7
2-Seam Fastball,90.6,12,S,L,0,0,0,1,5,7
Cutter,92.1,4,X,L,0,0,1,1,5,7
Cutter,91,14,X,R,0,0,0,0,6,7
Cutter,91,3,B,R,1,0,0,0,6,7
Cutter,90.6,3,X,L,0,0,0,0,6,6
Slider,91.2,2,S,L,0,1,0,0,6,6
2-Seam Fastball,86.9,14,B,L,1,1,0,0,6,6
Cutter,90.8,11,S,L,1,2,0,0,6,6
Changeup,90.6,12,B,L,2,2,0,0,6,6
2-Seam Fastball,86.6,13,S,L,2,2,0,0,6,6
2-Seam Fastball,91.9,13,B,L,3,2,0,0,6,6
2-Seam Fastball,91.6,5,X,L,0,0,0,0,1,0
2-Seam Fastball,91.9,11,S,L,0,1,0,0,1,0
Slider,91.2,11,B,L,1,1,0,0,1,0
2-Seam Fastball,82.2,5,S,L,1,2,0,0,1,0
2-Seam Fastball,92.3,13,X,L,0,0,0,1,1,0
2-Seam Fastball,91.1,7,B,L,1,0,0,1,1,0
2-Seam Fastball,92.6,8,X,L,0,0,1,1,1,0
2-Seam Fastball,92.1,13,B,L,1,0,1,1,1,0
Slider,91.7,11,B,L,2,0,1,1,1,0
2-Seam Fastball,84.3,14,B,L,3,0,1,1,1,0
Cutter,91.9,13,S,L,3,1,1,1,1,0
2-Seam Fastball,90.4,8,S,L,3,2,1,1,1,0
Cutter,91.5,5,X,R,0,0,1,2,1,0
2-Seam Fastball,92.2,12,B,R,1,0,1,2,1,0
2-Seam Fastball,92.2,4,S,R,1,1,1,2,1,0
Slider,92,5,S,R,1,2,1,2,1,0
Slider,85.7,6,S,R,1,2,1,2,1,0
2-Seam Fastball,85.9,6,X,L,0,0,0,0,2,0
Cutter,91.2,13,S,L,0,1,0,0,2,0
Cutter,90.9,11,B,L,1,1,0,0,2,0
2-Seam Fastball,90.4,12,B,L,2,1,0,0,2,0
2-Seam Fastball,90,13,S,L,2,2,0,0,2,0
Slider,92.5,9,S,L,2,2,0,0,2,0
2-Seam Fastball,84.6,5,X,L,0,0,1,0,2,0
Slider,91.8,5,X,R,0,0,0,2,2,0
Cutter,84.9,14,B,R,1,0,0,2,2,0
Slider,90.4,14,S,R,1,1,0,2,2,0
2-Seam Fastball,86.4,14,B,R,2,1,0,2,2,0
Cutter,91.9,9,S,R,2,2,0,2,2,0
Cutter,90.6,14,B,R,3,2,0,2,2,0
Cutter,90.4,3,S,R,3,2,0,2,2,0
2-Seam Fastball,91.5,12,B,L,0,0,1,2,2,0
2-Seam Fastball,91.3,1,S,L,0,1,1,2,2,0
Cutter,90.5,9,S,L,0,2,1,2,2,0
2-Seam Fastball,90.8,4,S,L,0,2,1,2,2,0
Cutter,92.7,8,X,R,0,0,1,2,2,0
2-Seam Fastball,89.6,14,B,R,1,0,1,2,2,0
Changeup,91.5,2,S,R,1,1,1,2,2,0
Slider,89.5,2,X,L,0,0,0,0,3,0
2-Seam Fastball,82.9,6,S,L,0,1,0,0,3,0
Cutter,91.8,13,B,L,1,1,0,0,3,0
2-Seam Fastball,91.1,11,B,L,2,1,0,0,3,0
2-Seam Fastball,92.7,8,X,L,0,0,1,0,3,0
Cutter,92,1,S,L,0,1,1,0,3,0
Cutter,90.8,13,B,L,1,1,1,0,3,0
Slider,90.9,9,S,L,1,2,1,0,3,0
Slider,85,5,S,L,1,2,1,0,3,0
Cutter,86.4,4,S,L,1,2,1,0,3,0
2-Seam Fastball,92,14,B,L,2,2,1,0,3,0
Cutter,92.9,13,S,L,2,2,1,0,3,0
Cutter,91.2,1,S,L,0,0,1,1,3,0
2-Seam Fastball,92,6,X,R,0,0,1,1,3,0
Cutter,92.3,13,X,L,0,0,1,2,3,-1
Changeup,91.7,12,B,L,1,0,1,2,3,-1
Cutter,88.1,7,X,L,0,0,0,0,4,-1
Changeup,90.5,12,B,L,1,0,0,0,4,-1
2-Seam Fastball,87.2,9,S,L,1,1,0,0,4,-1
Cutter,92.7,5,X,R,0,0,0,1,4,-1
2-Seam Fastball,91.6,3,S,R,0,1,0,1,4,-1
Slider,92.8,8,X,L,0,0,0,2,4,-1
Cutter,85.5,8,S,L,0,1,0,2,4,-1
2-Seam Fastball,91,12,B,L,1,1,0,2,4,-1
2-Seam Fastball,92,8,X,L,0,0,0,0,1,0
2-Seam Fastball,92.1,11,B,L,1,0,0,0,1,0
Changeup,90.9,5,S,L,1,1,0,0,1,0
2-Seam Fastball,86.7,13,B,L,2,1,0,0,1,0
2-Seam Fastball,92.3,6,S,L,2,2,0,0,1,0
2-Seam Fastball,91.8,11,S,R,0,0,0,1,1,0
2-Seam Fastball,93.1,14,S,R,0,1,0,1,1,0
Slider,92.3,8,S,R,0,2,0,1,1,0
Slider,85.5,14,B,R,1,2,0,1,1,0
Cutter,85.5,12,S,R,1,2,0,1,1,0
2-Seam Fastball,91,6,S,R,1,2,0,1,1,0
Slider,92.6,11,B,R,2,2,0,1,1,0
2-Seam Fastball,84,5,X,R,0,0,0,2,1,0
2-Seam Fastball,93,1,X,R,0,0,0,0,2,0
Cutter,91.6,11,B,R,1,0,0,0,2,0
Slider,90.3,3,S,R,1,1,0,0,2,0
2-Seam Fastball,84.9,6,X,L,0,0,0,1,2,0
4-Seam Fastball,92.9,4,S,L,0,1,0,1,2,0
Slider,93.2,11,B,L,1,1,0,1,2,0
Slider,84.9,9,S,L,1,2,0,1,2,0
Cutter,84.4,4,S,L,1,2,0,1,2,0
2-Seam Fastball,91.6,12,B,L,2,2,0,1,2,0
2-Seam Fastball,91.4,13,S,L,0,0,0,2,2,0
Curveball,92.8,4,S,L,0,1,0,2,2,0
2-Seam Fastball,72.2,8,S,L,0,2,0,2,2,0
2-Seam Fastball,92.4,5,X,L,0,0,0,0,3,0
2-Seam Fastball,91.3,13,B,L,1,0,0,0,3,0
2-Seam Fastball,91,13,B,L,2,0,0,0,3,0
2-Seam Fastball,91.6,7,X,R,0,0,0,1,3,0
Slider,93,3,S,R,0,1,0,1,3,0
2-Seam Fastball,85.2,14,B,R,1,1,0,1,3,0
Cutter,92.4,12,B,R,2,1,0,1,3,0
Cutter,89.8,12,B,R,3,1,0,1,3,0
2-Seam Fastball,91.5,14,S,R,3,2,0,1,3,0
2-Seam Fastball,93.2,1,S,R,0,0,0,2,3,0
Cutter,91.9,2,S,R,0,1,0,2,3,0
Curveball,89.3,6,S,R,0,2,0,2,3,0
Slider,76.3,12,S,R,0,2,0,2,3,0
2-Seam Fastball,84.9,14,B,R,1,2,0,2,3,0
Slider,91.5,12,B,R,2,2,0,2,3,0
Cutter,81.7,5,S,R,2,2,0,2,3,0
2-Seam Fastball,91.6,14,B,R,3,2,0,2,3,0
2-Seam Fastball,91.4,1,S,R,3,2,0,2,3,0
2-Seam Fastball,91.5,14,B,L,0,0,1,2,3,0
Slider,92.3,8,X,R,0,0,0,0,4,0
Cutter,85.1,12,B,R,1,0,0,0,4,0
2-Seam Fastball,89.5,2,B,R,2,0,0,0,4,0
2-Seam Fastball,92.5,6,X,R,0,0,0,1,4,0
Cutter,91.9,9,B,R,1,0,0,1,4,0
2-Seam Fastball,90.7,6,X,R,0,0,0,2,4,0
Cutter,92.7,4,S,R,0,1,0,2,4,0
Slider,91.5,13,B,R,1,1,0,2,4,0
Cutter,87.4,14,B,R,2,1,0,2,4,0
2-Seam Fastball,91.4,11,B,R,3,1,0,2,4,0
2-Seam Fastball,93.6,9,B,L,0,0,1,2,4,0
Slider,93.1,13,X,L,0,0,1,2,4,0
Changeup,86.2,7,S,L,0,1,1,2,4,0
Slider,88.3,13,S,L,0,2,1,2,4,0
Slider,84.1,14,B,L,1,2,1,2,4,0
Changeup,86,14,B,L,2,2,1,2,4,0
2-Seam Fastball,87.2,4,S,L,0,0,0,0,5,1
Cutter,91.5,4,S,L,0,1,0,0,5,1
Changeup,90.8,11,B,L,1,1,0,0,5,1
2-Seam Fastball,85.7,11,X,R,0,0,1,0,5,1
Cutter,92.3,13,B,R,1,0,1,0,5,1
Slider,91,4,S,R,1,1,1,0,5,1
Cutter,85.8,11,B,R,2,1,1,0,5,1
2-Seam Fastball,90.9,4,X,R,0,0,0,0,5,-1
2-Seam Fastball,92.4,14,B,R,1,0,0,0,5,-1
Cutter,91.5,8,S,R,1,1,0,0,5,-1
2-Seam Fastball,89,4,S,R,1,2,0,0,5,-1
Cutter,91.4,14,S,L,0,0,0,1,5,-1
Slider,91.7,12,B,L,1,0,0,1,5,-1
2-Seam Fastball,85,9,S,L,1,1,0,1,5,-1
Slider,92.4,8,X,R,0,0,0,2,5,-1
Cutter,87.3,14,B,R,1,0,0,2,5,-1
2-Seam Fastball,91,13,S,R,1,1,0,2,5,-1
Slider,92.1,8,X,R,0,0,0,0,6,-1
2-Seam Fastball,85.5,6,S,R,0,1,0,0,6,-1
Cutter,92,11,B,R,1,1,0,0,6,-1
2-Seam Fastball,90.8,14,B,R,2,1,0,0,6,-1
2-Seam Fastball,91.4,7,X,R,0,0,1,0,6,-1
2-Seam Fastball,91.7,8,S,R,0,1,1,0,6,-1
2-Seam Fastball,92.2,5,X,L,0,0,0,0,6,-3
Slider,92.6,14,B,L,1,0,0,0,6,-3
Cutter,86.4,14,S,L,1,1,0,0,6,-3
Slider,90.7,3,S,L,1,2,0,0,6,-3
Slider,84.5,9,S,L,1,2,0,0,6,-3
2-Seam Fastball,83,7,S,L,0,0,0,1,6,-3
2-Seam Fastball,91.2,13,B,L,1,0,0,1,6,-3
Cutter,90.9,13,S,L,1,1,0,1,6,-3
Cutter,89.8,6,X,L,0,0,0,2,6,-3
Cutter,89.8,12,B,L,1,0,0,2,6,-3
Slider,89.9,3,S,L,1,1,0,2,6,-3
Cutter,84.1,13,B,L,2,1,0,2,6,-3
Cutter,90.2,14,S,L,2,2,0,2,6,-3
2-Seam Fastball,89.2,3,S,L,0,0,0,0,1,1
2-Seam Fastball,92.3,8,X,R,0,0,1,0,1,1
Slider,92.9,13,B,R,1,0,1,0,1,1
2-Seam Fastball,83.8,7,S,R,1,1,1,0,1,1
Slider,93.3,7,S,R,1,2,1,0,1,1
2-Seam Fastball,86.9,9,S,R,1,2,1,0,1,1
2-Seam Fastball,92.6,13,B,R,2,2,1,0,1,1
Slider,92.7,13,B,R,3,2,1,0,1,1
Slider,85.1,6,X,L,0,0,1,1,1,1
2-Seam Fastball,84.6,14,S,L,0,1,1,1,1,1
Slider,93.1,6,S,L,0,2,1,1,1,1
Slider,86,12,S,R,0,0,1,2,1,1
Cutter,86.4,14,B,R,1,0,1,2,1,1
Slider,91.3,11,S,R,1,1,1,2,1,1
Slider,87.7,14,S,R,1,2,1,2,1,1
2-Seam Fastball,88,14,X,L,0,0,0,0,2,1
Slider,93,13,B,L,1,0,0,0,2,1
2-Seam Fastball,84.1,6,X,L,0,0,0,0,2,0
Changeup,93,4,S,L,0,1,0,0,2,0
Cutter,89.5,8,S,L,0,2,0,0,2,0
Changeup,90.8,12,B,L,1,2,0,0,2,0
2-Seam Fastball,89.9,11,S,R,0,0,0,1,2,0
2-Seam Fastball,93,13,B,R,1,0,0,1,2,0
Slider,92.4,11,S,R,1,1,0,1,2,0
2-Seam Fastball,88.4,14,B,R,2,1,0,1,2,0
Cutter,92,4,X,L,0,0,1,1,2,0
Cutter,90.9,12,B,L,1,0,1,1,2,0
Changeup,90.6,14,S,L,1,1,1,1,2,0
Changeup,89.5,13,S,L,1,2,1,1,2,0
2-Seam Fastball,89.8,11,B,L,2,2,1,1,2,0
Cutter,93.4,14,B,L,3,2,1,1,2,0
Cutter,91.3,12,B,R,0,0,1,1,2,0
Cutter,88.9,6,S,R,0,1,1,1,2,0
Slider,90.7,12,S,R,0,2,1,1,2,0
Changeup,85.2,2,X,L,0,0,1,2,2,0
Cutter,88.8,1,S,L,0,1,1,2,2,0
Slider,91.3,12,X,R,0,0,1,2,2,-1
Slider,86.7,14,B,R,1,0,1,2,2,-1
Changeup,87,5,X,L,0,0,0,0,3,-1
2-Seam Fastball,88.9,1,X,R,0,0,0,1,3,-1
Slider,94.3,14,B,R,1,0,0,1,3,-1
2-Seam Fastball,87.7,3,S,R,1,1,0,1,3,-1
2-Seam Fastball,93.5,11,B,R,2,1,0,1,3,-1
Slider,92.9,1,S,R,2,2,0,1,3,-1
2-Seam Fastball,87.5,14,S,L,0,0,0,2,3,-1
2-Seam Fastball,93.1,13,B,L,1,0,0,2,3,-1
Cutter,93.5,5,S,L,1,1,0,2,3,-1
2-Seam Fastball,91.4,12,B,L,2,1,0,2,3,-1
Cutter,91.8,13,X,L,0,0,1,2,3,-1
Changeup,91.4,12,B,L,1,0,1,2,3,-1
Changeup,90.1,12,S,L,1,1,1,2,3,-1
Cutter,89.4,6,S,L,1,2,1,2,3,-1
Slider,91.6,3,X,R,0,0,0,0,4,-1
Slider,85.9,14,B,R,1,0,0,0,4,-1
2-Seam Fastball,86.3,14,S,R,1,1,0,0,4,-1
Cutter,92.9,13,B,R,2,1,0,0,4,-1
Cutter,89.7,5,S,R,2,2,0,0,4,-1
Changeup,90.5,14,X,L,0,0,0,1,4,-1
2-Seam Fastball,89.3,11,S,L,0,1,0,1,4,-1
Cutter,93.2,9,B,L,1,1,0,1,4,-1
Changeup,91.3,12,B,L,2,1,0,1,4,-1
2-Seam Fastball,86.6,13,B,L,3,1,0,1,4,-1
2-Seam Fastball,91.9,4,S,L,3,2,0,1,4,-1
2-Seam Fastball,92,13,S,L,3,2,0,1,4,-1
2-Seam Fastball,91.9,13,X,R,0,0,0,2,4,-1
Cutter,92.1,3,X,L,0,0,0,0,5,-1
Changeup,89.9,8,S,L,0,1,0,0,5,-1
Cutter,89.1,8,S,L,0,2,0,0,5,-1
2-Seam Fastball,92.2,12,X,R,0,0,0,1,5,-1
Cutter,93.2,14,B,R,1,0,0,1,5,-1
Changeup,91.3,14,B,R,2,0,0,1,5,-1
Slider,87.4,5,S,R,2,1,0,1,5,-1
Cutter,86.3,11,B,R,3,1,0,1,5,-1
2-Seam Fastball,91.5,2,S,R,3,2,0,1,5,-1
2-Seam Fastball,92.8,14,B,L,0,0,1,1,5,-1
Cutter,92.8,13,S,L,0,1,1,1,5,-1
Slider,92.1,8,S,L,0,2,1,1,5,-1
2-Seam Fastball,86.9,8,S,L,0,2,1,1,5,-1
Slider,91.9,13,B,L,1,2,1,1,5,-1
2-Seam Fastball,87.3,3,S,L,1,2,1,1,5,-1
Cutter,93,14,B,L,2,2,1,1,5,-1
2-Seam Fastball,90.7,12,S,R,0,0,1,2,5,-1
Cutter,91.1,1,S,R,0,1,1,2,5,-1
Cutter,90.5,12,B,R,1,1,1,2,5,-1
Cutter,90.1,14,B,R,2,1,1,2,5,-1
Slider,90.9,2,S,R,2,2,1,2,5,-1
Cutter,87.2,3,X,L,0,0,0,0,6,-1
Changeup,90.4,12,B,L,1,0,0,0,6,-1
Cutter,87.9,6,S,L,1,1,0,0,6,-1
2-Seam Fastball,90.9,7,S,L,1,2,0,0,6,-1
2-Seam Fastball,93.2,14,S,L,0,0,0,1,6,-1
2-Seam Fastball,93,14,S,L,0,1,0,1,6,-1
Cutter,92.9,4,X,R,0,0,0,2,6,-1
2-Seam Fastball,90.3,14,S,R,0,1,0,2,6,-1
Slider,92.7,7,S,R,0,2,0,2,6,-1
2-Seam Fastball,87.2,14,S,L,0,0,0,0,7,-1
Cutter,92.5,13,B,L,1,0,0,0,7,-1
2-Seam Fastball,91.4,14,S,L,1,1,0,0,7,-1
2-Seam Fastball,91.9,8,X,L,0,0,0,0,1,0
Cutter,93.1,14,B,L,1,0,0,0,1,0
2-Seam Fastball,90.6,9,S,L,1,1,0,0,1,0
Cutter,93.4,14,S,L,1,2,0,0,1,0
Slider,91,14,B,L,2,2,0,0,1,0
2-Seam Fastball,87.4,14,B,L,3,2,0,0,1,0
Cutter,92.3,6,S,L,3,2,0,0,1,0
Cutter,90.5,5,S,L,3,2,0,0,1,0
2-Seam Fastball,90.5,9,X,R,0,0,0,0,1,-1
Slider,92.7,8,S,R,0,1,0,0,1,-1
2-Seam Fastball,87.4,14,B,R,1,1,0,0,1,-1
2-Seam Fastball,93.5,9,X,L,0,0,1,0,1,-1
2-Seam Fastball,92.7,13,S,L,0,1,1,0,1,-1
Slider,92.9,14,X,R,0,0,1,0,1,-1
2-Seam Fastball,87.8,14,B,R,1,0,1,0,1,-1
2-Seam Fastball,93.1,8,S,R,1,1,1,0,1,-1
4-Seam Fastball,91.8,7,S,R,1,2,1,0,1,-1
2-Seam Fastball,92,3,X,R,0,0,1,1,1,-1
2-Seam Fastball,93,13,B,R,1,0,1,1,1,-1
Cutter,92.5,1,S,R,1,1,1,1,1,-1
Slider,91.1,14,S,R,1,2,1,1,1,-1
Cutter,87.3,14,X,L,0,0,1,1,1,-1
Cutter,91.8,14,S,L,0,1,1,1,1,-1
Cutter,90.4,12,S,L,0,2,1,1,1,-1
Cutter,90.5,11,B,L,1,2,1,1,1,-1
Slider,91.2,12,S,L,1,2,1,1,1,-1
Slider,84.6,14,S,R,0,0,1,2,1,-1
2-Seam Fastball,86.2,9,S,R,0,1,1,2,1,-1
Slider,92.6,4,S,R,0,2,1,2,1,-1
Changeup,88.2,14,B,R,1,2,1,2,1,-1
2-Seam Fastball,88.7,13,B,R,2,2,1,2,1,-1
2-Seam Fastball,92.9,11,X,L,0,0,0,0,2,-1
Curveball,91,5,S,L,0,1,0,0,2,-1
Cutter,77,14,B,L,1,1,0,0,2,-1
2-Seam Fastball,90.4,5,X,L,0,0,0,1,2,-1
2-Seam Fastball,91,13,B,L,1,0,0,1,2,-1
2-Seam Fastball,91.3,5,S,L,1,1,0,1,2,-1
Slider,92.2,3,S,L,1,2,0,1,2,-1
Slider,83.3,14,S,L,0,0,0,2,2,-1
2-Seam Fastball,84,14,B,L,1,0,0,2,2,-1
Changeup,92.2,9,S,L,1,1,0,2,2,-1
2-Seam Fastball,89.3,13,B,L,2,1,0,2,2,-1
Slider,92.1,5,S,L,2,2,0,2,2,-1
2-Seam Fastball,85.1,6,X,R,0,0,1,2,2,-1
2-Seam Fastball,92.5,8,X,L,0,0,1,2,2,-1
2-Seam Fastball,93.1,1,S,L,0,1,1,2,2,-1
2-Seam Fastball,90.6,14,B,L,1,1,1,2,2,-1
Changeup,92.5,14,B,L,2,1,1,2,2,-1
2-Seam Fastball,88.5,11,B,L,3,1,1,2,2,-1
Slider,92.3,14,S,L,3,2,1,2,2,-1
Curveball,85.9,9,S,R,0,0,0,0,3,-1
2-Seam Fastball,76,14,B,R,1,0,0,0,3,-1
2-Seam Fastball,91.6,8,S,R,1,1,0,0,3,-1
Slider,91.9,4,S,R,1,2,0,0,3,-1
2-Seam Fastball,88.1,9,S,R,0,0,0,1,3,-1
Cutter,92.8,11,B,R,1,0,0,1,3,-1
2-Seam Fastball,91.2,14,B,R,2,0,0,1,3,-1
Slider,92,14,S,R,2,1,0,1,3,-1
Cutter,86,6,X,L,0,0,0,2,3,-1
2-Seam Fastball,90.2,4,S,L,0,1,0,2,3,-1
Slider,90.3,13,B,L,1,1,0,2,3,-1
Slider,85.3,14,S,L,1,2,0,2,3,-1
Slider,85.5,14,S,R,0,0,0,0,4,-1
Slider,85.1,14,S,R,0,1,0,0,4,-1
Changeup,86.2,14,B,R,1,1,0,0,4,-1
2-Seam Fastball,86.9,14,B,R,2,1,0,0,4,-1
2-Seam Fastball,91.6,7,X,L,0,0,1,0,4,-1
Changeup,92.3,9,X,L,0,0,1,0,4,-1
2-Seam Fastball,89.4,5,S,L,0,1,1,0,4,-1
Changeup,92,14,B,L,1,1,1,0,4,-1
Slider,90,3,S,L,1,2,1,0,4,-1
2-Seam Fastball,86.4,14,B,L,2,2,1,0,4,-1
2-Seam Fastball,91.2,14,S,L,0,0,1,1,4,-1
2-Seam Fastball,92.7,14,B,L,1,0,1,1,4,-1
Changeup,92.1,14,S,L,1,1,1,1,4,-1
2-Seam Fastball,88.6,13,B,L,2,1,1,1,4,-1
Changeup,92.4,8,S,L,2,2,1,1,4,-1
Changeup,89.1,4,X,R,0,0,1,1,4,-2
Cutter,88.5,5,X,L,0,0,1,1,4,-3
Slider,91,2,B,L,1,0,1,1,4,-3
2-Seam Fastball,85.5,14,S,L,1,1,1,1,4,-3
2-Seam Fastball,92.3,14,X,R,0,0,1,1,4,-5
Slider,93.6,4,S,R,0,1,1,1,4,-5
2-Seam Fastball,87.1,14,B,R,1,1,1,1,4,-5
Slider,91.8,4,X,R,0,0,1,2,4,-5
4-Seam Fastball,85.2,14,X,L,0,0,0,0,1,0
2-Seam Fastball,92.6,11,B,L,1,0,0,0,1,0
4-Seam Fastball,91.4,5,S,L,1,1,0,0,1,0
2-Seam Fastball,92.6,13,B,L,2,1,0,0,1,0
4-Seam Fastball,91.2,4,X,L,0,0,0,1,1,0
2-Seam Fastball,92.9,14,B,L,1,0,0,1,1,0
2-Seam Fastball,91.4,3,X,L,0,0,1,1,1,0
Cutter,91.8,14,B,L,1,0,1,1,1,0
Cutter,89.7,12,S,L,1,1,1,1,1,0
2-Seam Fastball,90.1,14,B,L,2,1,1,1,1,0
2-Seam Fastball,90.4,13,X,R,0,0,1,2,1,0
2-Seam Fastball,91.4,8,X,L,0,0,0,0,2,0
Cutter,91.6,5,S,L,0,1,0,0,2,0
Cutter,90,5,X,R,0,0,0,1,2,0
Cutter,90.7,9,S,R,0,1,0,1,2,0
Slider,90.1,6,S,R,0,2,0,1,2,0
Slider,86.8,14,B,R,1,2,0,1,2,0
2-Seam Fastball,85.1,14,B,R,2,2,0,1,2,0
Cutter,91.7,7,S,R,2,2,0,1,2,0
2-Seam Fastball,89.1,9,X,L,0,0,0,2,2,0
Cutter,91.7,8,S,L,0,1,0,2,2,0
2-Seam Fastball,88.8,14,B,L,1,1,0,2,2,0
Cutter,91.5,4,X,L,0,0,1,2,2,0
Cutter,89.8,14,S,L,0,1,1,2,2,0
Slider,90.2,12,B,L,1,1,1,2,2,0
Cutter,85.1,14,B,L,2,1,1,2,2,0
Cutter,90.1,14,S,L,2,2,1,2,2,0
2-Seam Fastball,90.6,14,S,L,0,0,0,0,3,1
Cutter,91.6,14,B,L,1,0,0,0,3,1
Changeup,90.7,9,S,L,1,1,0,0,3,1
Cutter,89.9,13,S,L,1,2,0,0,3,1
2-Seam Fastball,89.5,14,S,L,0,0,0,1,3,1
Cutter,92.8,14,S,L,0,1,0,1,3,1
Slider,89.6,14,B,L,1,1,0,1,3,1
4-Seam Fastball,85.7,14,B,L,2,1,0,1,3,1
2-Seam Fastball,92.6,14,B,L,3,1,0,1,3,1
2-Seam Fastball,90.4,13,B,L,0,0,1,1,3,1
2-Seam Fastball,91.9,11,B,L,1,0,1,1,3,1
Cutter,92.2,11,B,L,2,0,1,1,3,1
2-Seam Fastball,89.3,11,B,L,3,0,1,1,3,1
2-Seam Fastball,92.6,4,S,L,3,1,1,1,3,1
2-Seam Fastball,91.8,13,X,L,0,0,1,2,3,1
Cutter,91.9,14,B,L,1,0,1,2,3,1
Cutter,90.9,14,S,L,1,1,1,2,3,1
2-Seam Fastball,90,3,X,R,0,0,0,0,4,6
2-Seam Fastball,91.4,11,S,R,0,1,0,0,4,6
Cutter,91.4,13,B,R,1,1,0,0,4,6
Cutter,89.2,14,X,L,0,0,0,1,4,6
Cutter,90.7,11,B,L,1,0,0,1,4,6
Curveball,90.1,3,X,R,0,0,0,2,4,6
2-Seam Fastball,76.4,13,S,R,0,1,0,2,4,6
Curveball,92.1,13,S,R,0,2,0,2,4,6
Cutter,78.5,14,B,R,1,2,0,2,4,6
Slider,89.4,14,S,R,1,2,0,2,4,6
Slider,86.8,14,S,L,0,0,0,0,5,6
Cutter,84,11,B,L,1,0,0,0,5,6
Slider,89.9,9,S,L,1,1,0,0,5,6
2-Seam Fastball,85.7,13,B,L,2,1,0,0,5,6
2-Seam Fastball,91.9,5,X,L,0,0,1,0,5,6
Cutter,92.2,4,X,L,0,0,1,1,5,6
Slider,90.6,2,S,L,0,1,1,1,5,6
Cutter,85,14,S,L,0,2,1,1,5,6
2-Seam Fastball,91.4,14,S,L,0,0,1,2,5,6
Slider,92.4,13,B,L,1,0,1,2,5,6
Cutter,84.6,14,S,L,1,1,1,2,5,6
Slider,90.3,2,S,L,1,2,1,2,5,6
Cutter,85.5,9,S,L,0,0,0,0,6,10
2-Seam Fastball,90,8,S,L,0,1,0,0,6,10
Slider,92.5,11,B,L,1,1,0,0,6,10
Cutter,82.9,8,X,L,0,0,0,1,6,10
2-Seam Fastball,90.4,14,B,L,1,0,0,1,6,10
Cutter,91.8,9,S,L,1,1,0,1,6,10
Slider,89.9,14,S,L,1,2,0,1,6,10
2-Seam Fastball,85.1,14,S,R,0,0,0,2,6,10
Slider,92.3,14,B,R,1,0,0,2,6,10
Slider,83.9,14,B,R,2,0,0,2,6,10
2-Seam Fastball,85.9,11,B,R,3,0,0,2,6,10
2-Seam Fastball,90.5,11,B,L,0,0,1,2,6,10
Cutter,92.2,11,B,L,1,0,1,2,6,10
Cutter,90.4,5,S,L,1,1,1,2,6,10
2-Seam Fastball,89.3,6,X,R,0,0,0,0,7,10
Curveball,91.6,5,X,L,0,0,0,1,7,10
Cutter,77.5,14,B,L,1,0,0,1,7,10
Cutter,89.8,9,S,L,1,1,0,1,7,10
Slider,89.8,14,B,L,2,1,0,1,7,10
Cutter,84.3,13,B,L,3,1,0,1,7,10
